Date,Open,High,Low,Close,Adj Close,Volume
2019.5.28,42550,42950,42150,42550,39464.92969,24506881
2019.5.29,41850,42100,41300,41800,38769.31641,14930618
2019.5.30,42200,42700,42150,42550,39464.92969,11766018
2019.5.31,42600,42800,42150,42500,39418.55859,11365999
2019.6.3,42950,43900,42500,43800,40624.30469,15466580
2019.6.4,43400,43700,43000,43450,40299.67969,9913497
2019.6.5,44050,44200,43700,43900,40717.05859,12464135
2019.6.7,43600,44350,43450,44200,40995.30078,11683682
2019.6.10,44300,44850,44050,44800,41551.79688,8792182
2019.6.11,44800,45000,44550,44850,41598.17969,6664872
2019.6.12,44800,45050,44300,44600,41366.29688,8607439
2019.6.13,44200,44400,43400,43750,40577.92969,16906541
2019.6.14,43750,44150,43300,44000,40809.80078,9322873
2019.6.17,43750,44050,43400,43900,40717.05859,11890424
2019.6.18,43750,44500,43650,44350,41134.42969,7994928
2019.6.19,45450,45450,45000,45350,42061.92188,10417690
2019.6.20,44850,45500,44850,45500,42201.05078,7147785
2019.6.21,45750,45800,45200,45700,42386.55078,9454913
2019.6.24,45200,45800,45200,45500,42201.05078,6085066
2019.6.25,45200,45800,45200,45600,42293.79297,7076774
2019.6.26,45800,46000,45600,45700,42386.55078,9226097
2019.6.27,46000,46600,45750,46500,43465.23438,12603534
2019.6.28,47000,47000,46700,47000,43932.60156,12949231
2019.7.1,47350,47400,46250,46600,43558.70313,11383522
2019.7.2,46200,46900,45850,46250,43231.54297,8463073
2019.7.3,45750,46350,45200,45400,42437.01953,9669368
2019.7.4,45250,46200,45250,46000,42997.85938,6365573
2019.7.5,45950,45950,45250,45650,42670.69922,7235395
2019.7.8,44750,44800,44350,44400,41502.28906,7823843
2019.7.9,44850,45450,44700,45100,42156.59766,7646421
2019.7.10,45550,46150,45500,45550,42577.23438,9253930
2019.7.11,46350,46550,46150,46200,43184.80859,10989751
2019.7.12,46350,46400,45800,46300,43278.28125,5245804
2019.7.15,45950,46650,45750,46450,43418.49609,4717226
2019.7.16,46450,46850,46300,46850,43792.38672,7407824
2019.7.17,46150,46350,45950,46050,43044.60156,5216602
2019.7.18,46450,46450,45650,46100,43091.33594,5143554
2019.7.19,46650,46950,46600,46800,43745.65234,8819393
2019.7.22,46800,47300,46600,47200,44119.54688,9009109
2019.7.23,47350,47550,47050,47300,44213.02344,9061381
2019.7.24,47100,47150,46250,46400,43371.75391,8756522
2019.7.25,47150,47200,46600,47200,44119.54688,8408838
2019.7.26,46650,47150,46550,47150,44072.80859,7873886
2019.7.29,46800,47050,46000,46100,43091.33594,6856846
2019.7.30,46300,46850,46300,46550,43511.96875,5551014
2019.7.31,46200,46600,45000,45350,42390.28516,12872916
2019.8.1,44900,45500,44850,45200,42250.07422,7811181
2019.8.2,44550,45500,44300,44950,42016.39063,12151374
2019.8.5,44350,44600,43600,43950,41081.65625,14214086
2019.8.6,42500,43800,42500,43500,40661.02344,15083824
2019.8.7,43600,43900,43100,43200,40380.60156,10002533
2019.8.8,43250,43500,42650,42650,39866.49609,16926881
2019.8.9,43250,43350,43050,43150,40333.87109,9685147
2019.8.12,44000,44000,43550,43700,40847.96875,8466169
2019.8.13,43500,43500,42950,43000,40193.65234,7276979
2019.8.14,43900,44250,43500,43700,40847.96875,8750135
2019.8.16,43800,43900,43300,43900,41034.91797,9528115
2019.8.19,44350,44350,43500,43600,40754.49219,6014218
2019.8.20,43950,44600,43550,44450,41549.02734,8434205
2019.8.21,44350,44800,44150,44500,41595.75781,6571717
2019.8.22,44500,44700,43850,44050,41175.12891,8061177
2019.8.23,43800,44200,43650,43950,41081.65625,5017381
2019.8.26,43050,43800,42950,43600,40754.49219,7954949
2019.8.27,43650,44200,43600,44050,41175.12891,16883932
2019.8.28,44100,44400,43750,44150,41268.60156,5758333
